target,dropped_pair,rmse_full_test,rmse_top20_test,test_std,top20_feats,model_full_path,model_top20_path,best_params
leaf_Otu0000028,root_Otu0000028,0.4993999700439156,0.4858089023394886,1.03199935706982,leaf_Otu0000009;leaf_Otu0000006;leaf_Otu0000005;leaf_Otu0000058;latitude,models2/full/xgb_full_leaf_Otu0000028.model,models2/top20/xgb_top20_leaf_Otu0000028.model,"{'colsample_bytree': 0.7, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.8}"
leaf_Otu0000029,,1.2559314167518605,1.256938831968281,1.3269007287677157,leaf_Otu0000013;root_Otu0000049;plant_OTU88;WHC;leaf_Otu0000035;PPT_sp;Potassium;Elevation;root_Otu0000003;plant_OTU147;OC;plant_Shannon;leaf_Otu0000015;Iron;plant_OTU65;Phosphore;PPT_at;plant_richness;leaf_Otu0000022;root_Otu0000146,models2/full/xgb_full_leaf_Otu0000029.model,models2/top20/xgb_top20_leaf_Otu0000029.model,"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'objective': 'reg:squarederror', 'reg_alpha': 1.0, 'reg_lambda': 2.0, 'seed': 42, 'subsample': 0.9}"
leaf_Otu0000030,root_Otu0000030,0.11586836580533413,0.20094813158044184,0.6298335385519243,root_Otu0000002;leaf_Otu0000002;latitude;plant_OTU7;Iron;PPT_sp;leaf_Otu0000034,models2/full/xgb_full_leaf_Otu0000030.model,models2/top20/xgb_top20_leaf_Otu0000030.model,"{'colsample_bytree': 0.9, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'objective': 'reg:squarederror', 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.7}"
leaf_Otu0000031,,0.6481682286033061,0.6820449030602531,0.6349964025419235,root_Otu0000102;plant_OTU145;root_Otu0000122;leaf_Otu0000057;plant_OTU67;Potassium;Iron;leaf_Otu0000038;root_Otu0000020;plant_OTU149;plant_OTU100;MCMT;OC;PPT_sp;leaf_Otu0000096;root_Otu0000238;Phosphore;SOM;WHC;leaf_Otu0000010,models2/full/xgb_full_leaf_Otu0000031.model,models2/top20/xgb_top20_leaf_Otu0000031.model,"{'colsample_bytree': 0.7, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'reg_alpha': 1.0, 'reg_lambda': 2.0, 'seed': 42, 'subsample': 0.7}"
leaf_Otu0000032,,0.3672506501405513,0.6640889102964153,0.27289804038003906,leaf_Otu0000033;root_Otu0000046;root_Otu0000007;leaf_Otu0000029;root_Otu0000050;WHC;root_Otu0000146;plant_richness;Aluminium;Calcium;Iron;root_Otu0000026;MCMT;leaf_Otu0000018;CN;Nitrogen;Sodium;Magnesium;leaf_Otu0000152;pH,models2/full/xgb_full_leaf_Otu0000032.model,models2/top20/xgb_top20_leaf_Otu0000032.model,"{'colsample_bytree': 0.9, 'gamma': 1.0, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 2.0, 'seed': 42, 'subsample': 0.9}"
leaf_Otu0000033,,1.3547016476334803,1.3569054536624867,1.340639802180355,plant_OTU192;Sodium;plant_OTU67;leaf_Otu0000003;leaf_Otu0000078;longitude;PPT_wt;plant_OTU100;MCMT;Phosphore;plant_OTU27;Magnesium;leaf_Otu0000093;plant_OTU7;plant_richness;leaf_Otu0000068;root_Otu0000156;plant_OTU198;leaf_Otu0000035;root_Otu0000258,models2/full/xgb_full_leaf_Otu0000033.model,models2/top20/xgb_top20_leaf_Otu0000033.model,"{'colsample_bytree': 0.9, 'gamma': 1.0, 'learning_rate': 0.01, 'max_depth': 4, 'min_child_weight': 5, 'objective': 'reg:squarederror', 'reg_alpha': 1.0, 'reg_lambda': 2.0, 'seed': 42, 'subsample': 0.7}"
leaf_Otu0000034,,0.3793086123938623,0.39920645533416305,0.3098037362883428,Nitrogen;plant_OTU1;plant_OTU198;leaf_Otu0000029;plant_OTU65;leaf_Otu0000179;Calcium;leaf_Otu0000001;leaf_Otu0000014;CN;plant_OTU10;plant_OTU179;plant_OTU147;plant_OTU202;root_Otu0000003;root_Otu0000258;leaf_Otu0000120;leaf_Otu0000022;root_Otu0000144;leaf_Otu0000052,models2/full/xgb_full_leaf_Otu0000034.model,models2/top20/xgb_top20_leaf_Otu0000034.model,"{'colsample_bytree': 0.7, 'gamma': 1.0, 'learning_rate': 0.01, 'max_depth': 5, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 2.0, 'seed': 42, 'subsample': 0.9}"
leaf_Otu0000035,,2.2393225278803297,2.2508708772590578,2.277625130914408,root_Otu0000076;leaf_Otu0000001;leaf_Otu0000015;plant_OTU202;plant_OTU71;OC;root_Otu0000007;Nitrogen;plant_richness;plant_OTU198;pH;MAT;Aluminium;longitude;leaf_Otu0000029;leaf_Otu0000246;Calcium;Potassium;leaf_Otu0000008;leaf_Otu0000013,models2/full/xgb_full_leaf_Otu0000035.model,models2/top20/xgb_top20_leaf_Otu0000035.model,"{'colsample_bytree': 0.7, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'objective': 'reg:squarederror', 'reg_alpha': 1.0, 'reg_lambda': 1.0, 'seed': 42, 'subsample': 0.9}"
leaf_Otu0000036,,0.49519570902428717,0.5245430479605282,0.505373292683604,root_Otu0000001;plant_OTU67;plant_OTU132;Sodium;root_Otu0000102;plant_OTU8;PPT_at;longitude;plant_OTU203;PPT_wt;plant_OTU159;plant_OTU71;leaf_Otu0000003;OC;Phosphore;leaf_Otu0000012;leaf_Otu0000002;Calcium;root_Otu0000017;plant_OTU4,models2/full/xgb_full_leaf_Otu0000036.model,models2/top20/xgb_top20_leaf_Otu0000036.model,"{'colsample_bytree': 0.7, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.7}"
leaf_Otu0000037,,0.5134822396320342,0.6524445832186095,0.7886707635471448,leaf_Otu0000077;WHC;Sodium;leaf_Otu0000067;leaf_Otu0000073;Iron;Phosphore;leaf_Otu0000002;OC;latitude;leaf_Otu0000001;leaf_Otu0000093;root_Otu0000003;Potassium,models2/full/xgb_full_leaf_Otu0000037.model,models2/top20/xgb_top20_leaf_Otu0000037.model,"{'colsample_bytree': 0.7, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.7}"
leaf_Otu0000038,,0.7806735769090325,0.9285082149411977,0.801904395239112,pH;root_Otu0000020;plant_OTU88;leaf_Otu0000013;leaf_Otu0000031;PPT_at;plant_OTU78;root_Otu0000121;leaf_Otu0000015;Calcium;Phosphore;root_Otu0000009;plant_OTU16;leaf_Otu0000152;leaf_Otu0000120;root_Otu0000122;plant_OTU100;leaf_Otu0000010;leaf_Otu0000084;plant_OTU179,models2/full/xgb_full_leaf_Otu0000038.model,models2/top20/xgb_top20_leaf_Otu0000038.model,"{'colsample_bytree': 0.7, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 5, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.7}"
leaf_Otu0000042,,0.45931077152883254,0.47273073046779823,0.2096100524365363,leaf_Otu0000027;Potassium;plant_Shannon;leaf_Otu0000115;leaf_Otu0000022;plant_OTU113;Iron;root_Otu0000004;plant_OTU216;leaf_Otu0000003;leaf_Otu0000066;Phosphore;Magnesium;leaf_Otu0000052;root_Otu0000156;leaf_Otu0000109;leaf_Otu0000010;CN;OC;root_Otu0000026,models2/full/xgb_full_leaf_Otu0000042.model,models2/top20/xgb_top20_leaf_Otu0000042.model,"{'colsample_bytree': 0.7, 'gamma': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 2.0, 'seed': 42, 'subsample': 0.7}"
leaf_Otu0000044,,0.946502017527654,0.9279716379347467,0.9938387320590897,CN;WHC;leaf_Otu0000077;plant_OTU46;leaf_Otu0000070;leaf_Otu0000010;leaf_Otu0000029;leaf_Otu0000022;leaf_Otu0000042;root_Otu0000003;plant_richness;Calcium;plant_OTU67;plant_OTU1;Phosphore;root_Otu0000049;root_Otu0000064;leaf_Otu0000013;pH;PPT_sm,models2/full/xgb_full_leaf_Otu0000044.model,models2/top20/xgb_top20_leaf_Otu0000044.model,"{'colsample_bytree': 0.7, 'gamma': 1.0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 5, 'objective': 'reg:squarederror', 'reg_alpha': 1.0, 'reg_lambda': 2.0, 'seed': 42, 'subsample': 0.7}"
leaf_Otu0000051,root_Otu0000051,0.37455352694667843,0.3766719315674916,1.9710121706335628,leaf_Otu0000016;leaf_Otu0000011;leaf_Otu0000063;CN;Aluminium,models2/full/xgb_full_leaf_Otu0000051.model,models2/top20/xgb_top20_leaf_Otu0000051.model,"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.7}"
leaf_Otu0000052,,1.3957046954558316,1.406330659686286,1.4177059080457486,leaf_Otu0000025;root_Otu0000144;root_Otu0000021;Calcium;root_Otu0000102;leaf_Otu0000109;Sodium;root_Otu0000019;Phosphore;leaf_Otu0000101;Manganese;plant_OTU154;Elevation;leaf_Otu0000044;leaf_Otu0000120;longitude;leaf_Otu0000365;MAT;leaf_Otu0000066;leaf_Otu0000094,models2/full/xgb_full_leaf_Otu0000052.model,models2/top20/xgb_top20_leaf_Otu0000052.model,"{'colsample_bytree': 0.9, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.8}"
leaf_Otu0000057,,1.5198389755286703,1.6848778887900844,1.8886995118868295,Iron;plant_OTU149;Phosphore;latitude;root_Otu0000007;leaf_Otu0000070;leaf_Otu0000018;Magnesium;leaf_Otu0000074;leaf_Otu0000032;leaf_Otu0000025;root_Otu0000003;plant_OTU7;leaf_Otu0000004;leaf_Otu0000003;leaf_Otu0000037;OC;root_Otu0000020;plant_OTU204;Calcium,models2/full/xgb_full_leaf_Otu0000057.model,models2/top20/xgb_top20_leaf_Otu0000057.model,"{'colsample_bytree': 0.8, 'gamma': 1.0, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'objective': 'reg:squarederror', 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'seed': 42, 'subsample': 0.8}"
